# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.419647e+03 -8.115418e-10 8.548460e-11 3.943463e-01 -2.254283e-13 2.374572e-14
   Mercury 3.301000e+23 5.789949e+10 1.723320e+08 2.966953e-11 -1.425546e+02 4.787000e+04 8.241537e-15
     Venus 4.867000e+24 1.081999e+11 1.260720e+08 1.446047e-11 -4.081956e+01 3.502000e+04 4.016797e-15
     Earth 5.972000e+24 1.495999e+11 1.072080e+08 8.834204e-12 -2.135346e+01 2.978000e+04 2.453946e-15
      Mars 6.417000e+23 2.279000e+11 8.686800e+07 4.115780e-12 -9.200128e+00 2.413000e+04 1.143272e-15
   Jupiter 1.898000e+27 7.785000e+11 4.705200e+07 2.326539e-13 -7.882256e-01 1.307000e+04 6.462608e-17
    Saturn 5.683000e+26 1.433000e+12 3.484800e+07 4.445054e-14 -2.337828e-01 9.680000e+03 1.234737e-17
    Uranus 8.681000e+25 2.877000e+12 2.448000e+07 6.121058e-15 -5.789834e-02 6.800000e+03 1.700294e-18
   Neptune 1.024000e+26 4.503000e+12 1.954800e+07 1.660676e-15 -2.362430e-02 5.430000e+03 4.612989e-19
      Moon 7.342000e+22 -1.128363e+10 3.679200e+06 8.480202e-11 -3.241007e+06 1.022000e+03 2.355612e-14
    Phobos 1.070000e+16 -1.956252e+13 7.696800e+06 8.546785e-11 -5.434036e+09 2.138000e+03 2.374107e-14
    Deimos 1.480000e+15 -3.126247e+12 4.863600e+06 8.544271e-11 -8.684084e+08 1.351000e+03 2.373409e-14
        Io 8.930000e+22 -9.253051e+09 6.235200e+07 8.473537e-11 -2.687431e+06 1.732000e+04 2.353760e-14
    Europa 4.800000e+22 -3.148969e+09 4.946400e+07 8.429603e-11 -1.061130e+06 1.374000e+04 2.341557e-14
  Ganymede 1.480000e+23 -4.327151e+08 3.916800e+07 8.359911e-11 -4.174209e+05 1.088000e+04 2.322197e-14
  Callisto 1.080000e+23 1.396257e+09 2.952000e+07 8.220207e-11 -1.349287e+05 8.200000e+03 2.283391e-14
     Titan 1.345000e+23 6.986001e+07 2.005200e+07 8.333540e-11 -3.200389e+05 5.570000e+03 2.314872e-14
      Rhea 2.310000e+21 -5.667765e+09 3.052800e+07 8.454954e-11 -1.720768e+06 8.480000e+03 2.348598e-14
   Iapetus 1.810000e+21 3.424248e+09 1.173600e+07 7.940452e-11 -3.770885e+04 3.260000e+03 2.205681e-14
     Dione 1.100000e+21 -1.172665e+10 3.657600e+07 8.481441e-11 -3.362124e+06 1.016000e+04 2.355956e-14
    Tethys 6.170000e+20 -1.947475e+10 4.086000e+07 8.495963e-11 -5.491596e+06 1.135000e+04 2.359990e-14
 Enceladus 1.080000e+20 -3.013526e+10 4.453200e+07 8.506076e-11 -8.437018e+06 1.237000e+04 2.362799e-14
     Mimas 3.750000e+19 -4.954408e+10 5.112000e+07 8.515314e-11 -1.381391e+07 1.420000e+04 2.365365e-14
   Miranda 6.590000e+19 -1.032580e+11 2.390400e+07 8.525455e-11 -2.871862e+07 6.640000e+03 2.368182e-14
     Ariel 1.350000e+21 -4.696954e+10 2.001600e+07 8.514425e-11 -1.310015e+07 5.560000e+03 2.365118e-14
   Umbriel 1.170000e+21 -2.404943e+10 1.677600e+07 8.501106e-11 -6.754287e+06 4.660000e+03 2.361418e-14
   Titania 3.420000e+21 -8.614902e+09 1.310400e+07 8.471010e-11 -2.514139e+06 3.640000e+03 2.353058e-14
    Oberon 3.000000e+21 -4.478839e+09 1.134000e+07 8.445091e-11 -1.406066e+06 3.150000e+03 2.345859e-14
    Triton 2.140000e+22 -1.329667e+10 1.580400e+07 8.485334e-11 -3.792130e+06 4.390000e+03 2.357037e-14
Asteroid_1 2.870850e+16 -1.069306e+11 -6.231853e+10 6.553650e+09 1.649067e+04 -2.829613e+04 -1.832742e+00

# Step 1, Time: 3.600000e+03 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 2.337949e+04 6.138747e+03 2.564532e-10 6.099955e+00 1.705208e+00 4.749127e-14
   Mercury 3.301000e+23 5.789846e+10 3.446625e+08 8.898840e-11 -2.851098e+02 4.786958e+04 1.647746e-14
     Venus 4.867000e+24 1.081996e+11 2.521438e+08 4.338027e-11 -8.163914e+01 3.501995e+04 8.033279e-15
     Earth 5.972000e+24 1.495998e+11 2.144159e+08 2.650349e-11 -4.270693e+01 2.977998e+04 4.908134e-15
      Mars 6.417000e+23 2.278999e+11 1.737360e+08 1.234821e-11 -1.840026e+01 2.413000e+04 2.286787e-15
   Jupiter 1.898000e+27 7.785000e+11 9.410400e+07 6.980001e-13 -1.576451e+00 1.307000e+04 1.292628e-16
    Saturn 5.683000e+26 1.433000e+12 6.969600e+07 1.333563e-13 -4.675656e-01 9.680000e+03 2.469604e-17
    Uranus 8.681000e+25 2.877000e+12 4.896000e+07 1.836352e-14 -1.157967e-01 6.800000e+03 3.400685e-18
   Neptune 1.024000e+26 4.503000e+12 3.909600e+07 4.982091e-15 -4.724860e-02 5.430000e+03 9.226152e-19
      Moon 7.342000e+22 -2.293774e+10 7.353995e+06 2.784539e-10 -3.237254e+06 1.020776e+03 5.379219e-14
    Phobos 1.070000e+16 -3.912505e+13 1.539360e+07 1.709357e-10 -5.434036e+09 2.138000e+03 2.374108e-14
    Deimos 1.480000e+15 -6.252517e+12 9.727200e+06 1.708913e-10 -8.684084e+08 1.351000e+03 2.373573e-14
        Io 8.930000e+22 -1.890771e+10 1.245686e+08 2.735124e-10 -2.681850e+06 1.728239e+04 5.243806e-14
    Europa 4.800000e+22 -6.795598e+09 9.620362e+07 2.599386e-10 -1.012953e+06 1.298323e+04 4.878959e-14
  Ganymede 1.480000e+23 7.141165e+09 -7.432460e+08 2.929680e-10 2.103856e+06 -2.173372e+05 5.815802e-14
  Callisto 1.080000e+23 2.860253e+07 4.039441e+07 2.494839e-10 -3.799039e+05 3.020669e+03 4.646717e-14
     Titan 1.345000e+23 -3.141441e+11 -8.982021e+10 9.883347e-09 -8.728165e+07 -2.495563e+07 2.722225e-12
      Rhea 2.310000e+21 -1.180897e+10 6.076754e+07 2.654426e-10 -1.705891e+06 8.399872e+03 5.024808e-14
   Iapetus 1.810000e+21 3.141770e+09 2.296912e+07 2.386882e-10 -7.846615e+04 3.120312e+03 4.424547e-14
     Dione 1.100000e+21 -2.381778e+10 7.311295e+07 2.794909e-10 -3.358649e+06 1.014915e+04 5.407681e-14
    Tethys 6.170000e+20 -3.923996e+10 8.171048e+07 3.005161e-10 -5.490336e+06 1.134736e+04 5.987680e-14
 Enceladus 1.080000e+20 -6.050664e+10 8.906120e+07 3.371149e-10 -8.436492e+06 1.236922e+04 7.001504e-14
     Mimas 3.750000e+19 -9.927346e+10 1.022393e+08 4.352451e-10 -1.381372e+07 1.419980e+04 9.724775e-14
   Miranda 6.590000e+19 -2.066449e+11 4.780796e+07 8.278059e-10 -2.871858e+07 6.639990e+03 2.062643e-13
     Ariel 1.350000e+21 -9.412929e+10 4.003167e+07 4.196327e-10 -1.309993e+07 5.559908e+03 9.291344e-14
   Umbriel 1.170000e+21 -4.836189e+10 3.354992e+07 3.150643e-10 -6.753461e+06 4.659424e+03 6.390367e-14
   Titania 3.420000e+21 -1.764262e+10 2.617275e+07 2.721000e-10 -2.507700e+06 3.630209e+03 5.205275e-14
    Oberon 3.000000e+21 -9.454914e+09 2.246285e+07 2.628640e-10 -1.382243e+06 3.089681e+03 4.955918e-14
    Triton 2.140000e+22 -2.693861e+10 3.159643e+07 2.834732e-10 -3.789427e+06 4.386787e+03 5.517220e-14
Asteroid_1 2.870850e+16 -1.068711e+11 -6.242034e+10 6.553638e+09 1.651752e+04 -2.828049e+04 -3.477915e+00

# Step 2, Time: 7.200000e+03 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 6.738735e+04 4.342868e+04 5.129009e-10 1.222441e+01 1.035831e+01 7.123548e-14
   Mercury 3.301000e+23 5.789692e+10 5.169899e+08 1.779370e-10 -4.276645e+02 4.786873e+04 2.470793e-14
     Venus 4.867000e+24 1.081991e+11 3.782153e+08 8.675837e-11 -1.224587e+02 3.501986e+04 1.204947e-14
     Earth 5.972000e+24 1.495995e+11 3.216238e+08 5.300875e-11 -6.406040e+01 2.977995e+04 7.362574e-15
      Mars 6.417000e+23 2.278998e+11 2.606039e+08 2.469818e-11 -2.760039e+01 2.412999e+04 3.430547e-15
   Jupiter 1.898000e+27 7.785000e+11 1.411560e+08 1.396077e-12 -2.364677e+00 1.307000e+04 1.939103e-16
    Saturn 5.683000e+26 1.433000e+12 1.045440e+08 2.667219e-13 -7.013484e-01 9.680000e+03 3.704600e-17
    Uranus 8.681000e+25 2.877000e+12 7.344000e+07 3.672775e-14 -1.736950e-01 6.800000e+03 5.101173e-18
   Neptune 1.024000e+26 4.503000e+12 5.864400e+07 9.964307e-15 -7.087289e-02 5.430000e+03 1.383949e-18
      Moon 7.342000e+22 -3.458858e+10 1.102774e+07 6.134556e-10 -3.236345e+06 1.020485e+03 9.305602e-14
    Phobos 1.070000e+16 -5.868758e+13 2.309040e+07 2.564036e-10 -5.434036e+09 2.138000e+03 2.374108e-14
    Deimos 1.480000e+15 -9.378787e+12 1.459080e+07 2.563406e-10 -8.684084e+08 1.351000e+03 2.373592e-14
