# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 3.651431e+00 -5.901461e-06 6.261254e-09 1.014286e-03 -1.639295e-09 1.739237e-12
   Mercury 3.301000e+23 5.789949e+10 1.723320e+08 1.247641e-08 -1.425545e+02 4.787000e+04 3.465671e-12
     Venus 4.867000e+24 1.081999e+11 1.260720e+08 1.464868e-09 -4.081953e+01 3.502000e+04 4.069079e-13
     Earth 5.972000e+24 1.495999e+11 1.072076e+08 4.367143e-10 -2.128923e+01 2.977990e+04 1.213095e-13
      Mars 6.417000e+23 2.279000e+11 8.686800e+07 9.708755e-11 -9.200151e+00 2.413000e+04 2.696876e-14
   Jupiter 1.898000e+27 7.785000e+11 4.705167e+07 1.733330e-12 -7.239912e-01 1.306991e+04 4.814807e-16
    Saturn 5.683000e+26 1.433000e+12 3.484793e+07 2.605612e-13 -2.352667e-01 9.679980e+03 7.237811e-17
    Uranus 8.681000e+25 2.877000e+12 2.447996e+07 3.098489e-14 -5.146314e-02 6.799990e+03 8.606913e-18
   Neptune 1.024000e+26 4.503000e+12 1.954791e+07 7.970704e-15 -5.555119e-02 5.429975e+03 2.214084e-18
      Moon 7.342000e+22 1.498091e+11 -2.147662e+08 4.354788e-10 8.357382e+02 3.033689e+04 1.209663e-13
    Phobos 1.070000e+16 2.278928e+11 8.269362e+07 9.709706e-11 5.495001e+01 2.136586e+04 2.697140e-14
    Deimos 1.480000e+15 2.279094e+11 6.590557e+07 9.708603e-11 1.254842e+03 2.468308e+04 2.696834e-14
        Io 8.930000e+22 7.786831e+11 -3.277730e+08 1.732567e-12 1.575472e+04 2.070710e+04 4.812686e-16
    Europa 4.800000e+22 7.790933e+11 -2.627000e+08 1.729453e-12 6.380369e+03 2.528035e+04 4.804036e-16
  Ganymede 1.480000e+23 7.788087e+11 1.070794e+09 1.730602e-12 -1.042425e+04 1.621400e+04 4.807229e-16
  Callisto 1.080000e+23 7.775146e+11 1.650165e+09 1.739562e-12 -6.987310e+03 8.775239e+03 4.832117e-16
     Titan 1.345000e+23 1.433160e+12 -1.176526e+09 2.604983e-13 5.522818e+03 1.040744e+04 7.236064e-17
      Rhea 2.310000e+21 1.432879e+12 5.467998e+08 2.606057e-13 -8.266065e+03 7.723421e+03 7.239048e-17
   Iapetus 1.810000e+21 1.429647e+12 -1.160411e+09 2.624634e-13 1.094340e+03 6.609230e+03 7.290650e-17
     Dione 1.100000e+21 1.432625e+12 5.151182e+07 2.607694e-13 -4.872260e+02 -5.137117e+02 7.243595e-17
    Tethys 6.170000e+20 1.432830e+12 -2.028509e+08 2.606778e-13 9.300430e+03 2.988020e+03 7.241049e-17
 Enceladus 1.080000e+20 1.432815e+12 1.776656e+08 2.606468e-13 -7.698444e+03 -2.982725e+02 7.240190e-17
     Mimas 3.750000e+19 1.432833e+12 -3.053875e+07 2.606651e-13 5.126951e+03 -4.137771e+03 7.240698e-17
   Miranda 6.590000e+19 2.877126e+12 1.050871e+07 3.098087e-14 7.657909e+02 1.351368e+04 8.605797e-18
     Ariel 1.350000e+21 2.877173e+12 -5.317064e+07 3.097952e-14 2.299885e+03 1.189419e+04 8.605422e-18
   Umbriel 1.170000e+21 2.876838e+12 -1.860728e+08 3.099069e-14 3.703172e+03 3.955933e+03 8.608524e-18
   Titania 3.420000e+21 2.876924e+12 -4.046350e+08 3.098795e-14 3.585756e+03 6.164730e+03 8.607765e-18
    Oberon 3.000000e+21 2.877358e+12 4.843767e+08 3.097271e-14 -2.485909e+03 8.735667e+03 8.603531e-18
    Triton 2.140000e+22 4.502733e+12 -2.134166e+08 7.972200e-15 2.886115e+03 2.116328e+03 2.214500e-18
Asteroid_1 9.550021e+17 3.653097e+10 -3.175239e+10 8.598995e+08 3.435644e+04 3.952677e+04 2.073383e+00

# Step 1, Time: 3.600000e+03 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.095429e+01 9.960308e-04 1.878396e-08 2.028573e-03 2.783145e-07 3.478529e-12
   Mercury 3.301000e+23 5.789846e+10 3.446625e+08 3.747249e-08 -2.851097e+02 4.786958e+04 6.943356e-12
     Venus 4.867000e+24 1.081996e+11 2.521438e+08 4.401343e-09 -8.163909e+01 3.501995e+04 8.156873e-13
     Earth 5.972000e+24 1.495998e+11 2.144149e+08 1.311586e-09 -4.257750e+01 2.977978e+04 2.430199e-13
      Mars 6.417000e+23 2.278999e+11 1.737360e+08 2.914614e-10 -1.840031e+01 2.413000e+04 5.399274e-14
   Jupiter 1.898000e+27 7.785000e+11 9.410302e+07 5.200923e-12 -1.430132e+00 1.306982e+04 9.632202e-16
    Saturn 5.683000e+26 1.433000e+12 6.969578e+07 7.817601e-13 -4.702391e-01 9.679959e+03 1.447775e-16
    Uranus 8.681000e+25 2.877000e+12 4.895989e+07 9.295947e-14 -1.020624e-01 6.799980e+03 1.721516e-17
   Neptune 1.024000e+26 4.503000e+12 3.909572e+07 2.391297e-14 -1.099995e-01 5.429948e+03 4.428406e-18
      Moon 7.342000e+22 1.498121e+11 -1.055239e+08 1.307835e-09 8.091415e+02 3.034508e+04 2.423211e-13
    Phobos 1.070000e+16 2.279000e+11 1.636847e+08 2.914828e-10 1.985939e+03 2.249752e+04 5.399604e-14
    Deimos 1.480000e+15 2.279134e+11 1.557246e+08 2.914497e-10 1.126147e+03 2.494972e+04 5.398990e-14
        Io 8.930000e+22 7.787357e+11 -2.447502e+08 5.198244e-12 1.460374e+04 2.306188e+04 9.626881e-16
    Europa 4.800000e+22 7.791130e+11 -1.699945e+08 5.189136e-12 5.476965e+03 2.575153e+04 9.610229e-16
  Ganymede 1.480000e+23 7.787708e+11 1.127789e+09 5.193000e-12 -1.054021e+04 1.583211e+04 9.617772e-16
  Callisto 1.080000e+23 7.774896e+11 1.681361e+09 5.219805e-12 -6.920639e+03 8.665509e+03 9.667340e-16
     Titan 1.345000e+23 1.433179e+12 -1.138733e+09 7.815602e-13 5.510640e+03 1.049812e+04 1.447394e-16
      Rhea 2.310000e+21 1.432849e+12 5.728759e+08 7.819103e-13 -8.152598e+03 7.243378e+03 1.448068e-16
   Iapetus 1.810000e+21 1.429651e+12 -1.136604e+09 7.874653e-13 1.104257e+03 6.612848e+03 1.458339e-16
     Dione 1.100000e+21 1.432627e+12 4.950747e+07 7.823843e-13 4.809077e+02 -5.567633e+02 1.448930e-16
    Tethys 6.170000e+20 1.432867e+12 -1.874116e+08 7.820891e-13 1.023033e+04 4.288684e+03 1.448365e-16
